zp,mu,absmagnitude,magnitude,time,e_absmagnitude,upperlimit,z,instrument,e_magnitude,e_flux,name,flux,band,e_zp,facility
-48.6,37.65880949200498,-10.580473255538884,27.078336236466093,58155.075537,575.651048319555,False,0.07944,Kepler,-0.5182506292744017,2.7963303404355267e-29,2017jgh,-5.353841446026061e-31,K,0.0,Kepler
-48.6,37.65880949200498,-12.609999077375896,25.04881041462908,58155.09597,88.78423623753282,False,0.07944,Kepler,3.062199298191483,2.7963303404355267e-29,2017jgh,3.4711696039855425e-30,K,0.0,Kepler
-48.6,37.65880949200498,-13.34639137926488,24.312418112740097,58155.116404,45.055316004450695,False,0.07944,Kepler,5.6109699885890025,2.7963303404355267e-29,2017jgh,6.839632304952374e-30,K,0.0,Kepler
-48.6,37.65880949200498,-13.984538996534774,23.674270495470203,58155.136838,25.01929486632359,False,0.07944,Kepler,-8.730513188413552,2.7963303404355267e-29,2017jgh,-1.2310956643199821e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.216088361756725,23.442721130248252,58155.157271000004,20.22833874145755,False,0.07944,Kepler,9.849549658681164,2.7963303404355267e-29,2017jgh,1.5237423838887647e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.147764327565206,23.51104516443977,58155.198138,21.55363169858528,False,0.07944,Kepler,9.533915259278503,2.7963303404355267e-29,2017jgh,1.4308098927010822e-29,K,0.0,Kepler
-48.6,37.65880949200498,-10.67979551176871,26.979013980236267,58155.259439,525.2548389560026,False,0.07944,Kepler,-0.5657712681211168,2.7963303404355267e-29,2017jgh,-5.866707122208271e-31,K,0.0,Kepler
-48.6,37.65880949200498,-14.845869044620109,22.812940447384868,58155.279873,11.310842927220483,False,0.07944,Kepler,-11.402286353643566,2.7963303404355267e-29,2017jgh,-2.7215970219177497e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.566058942230107,22.09275054977487,58155.300306,5.837125238455203,False,0.07944,Kepler,9.13441039708417,2.7963303404355267e-29,2017jgh,5.283233192444122e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.628462672355418,23.03034681964956,58155.32074,13.831432647300721,False,0.07944,Kepler,11.223908186876908,2.7963303404355267e-29,2017jgh,2.2277234278888956e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.815450515995245,22.843358976009732,58155.341174,11.648233144361784,False,0.07944,Kepler,11.404359701200368,2.7963303404355267e-29,2017jgh,2.646405616585441e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.680999143373548,22.97781034863143,58155.361607,13.179834134541808,False,0.07944,Kepler,11.307393138774712,2.7963303404355267e-29,2017jgh,2.338168797095861e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.786171891453684,21.872637600551293,58155.382041,4.767086862596198,False,0.07944,Kepler,7.964917366017168,2.7963303404355267e-29,2017jgh,6.470606054611319e-29,K,0.0,Kepler
